"Player.Name","Salary","Position","Age","Team","GP","GS","AST","STL","BLK","PTS","FG","FGA","Total.Minutes"
"Darius Garland",8920794,"PG",23,"CLE",69,69,7.8,1.2,0.1,21.6,7.6,16.4,2447
"Isaiah Hartenstein",8854879,"C",24,"NYK",82,8,1.2,0.6,0.8,5,2.1,4,1626
"Kyle Anderson",8780488,"PF",29,"MIN",69,46,4.9,1.1,0.9,9.4,3.7,7.2,1957
"Victor Oladipo",8750000,"SG",30,"MIA",42,2,3.5,1.4,0.3,10.7,3.8,9.6,1106
"Daniel Theis",8694369,"C",30,"IND",7,1,1.3,0.3,0.9,7,3,6.3,109
"LaMelo Ball",8623920,"PG",21,"CHO",36,36,8.4,1.3,0.3,23.3,8.2,20,1268
"Seth Curry",8496653,"SG",32,"BRK",61,7,1.6,0.6,0.1,9.2,3.4,7.4,1211
"Evan Mobley",8478720,"PF",21,"CLE",79,79,2.8,0.8,1.5,16.2,6.6,12,2715
"Gary Payton II",8300000,"SG",30,"GSW/POR",22,1,1.4,1,0.2,4.6,1.9,3.1,367
"Dewayne Dedmon",8283688,"C",33,"PHI/MIA",38,1,0.7,0.2,0.5,5.2,2,4,426
"De'Anthony Melton",8250000,"SG",24,"PHI",77,58,2.6,1.6,0.5,10.1,3.6,8.5,2150
"JaMychal Green",8200000,"PF",32,"GSW",57,1,0.9,0.4,0.4,6.4,2.4,4.4,797
"Keegan Murray",8008440,"SF",22,"SAC",80,78,1.2,0.8,0.5,12.2,4.4,9.8,2382
"Kevon Looney",8e+06,"C",26,"GSW",82,70,2.5,0.6,0.6,7,3,4.7,1958
"Thaddeus Young",8e+06,"PF",34,"TOR",54,9,1.4,1,0.1,4.4,2,3.7,795
"Delon Wright",7804878,"PG",30,"WAS",50,14,3.9,1.8,0.3,7.4,2.8,5.8,1221
"Patrick Williams",7775400,"PF",21,"CHI",82,65,1.2,0.9,0.9,10.2,3.8,8.3,2323
"Scottie Barnes",7644600,"SF",21,"TOR",77,76,4.8,1.1,0.8,15.3,6,13.2,2678
"Cedi Osman",7426088,"SF",27,"CLE",77,2,1.5,0.5,0.1,8.7,3.1,6.9,1548
"Coby White",7413955,"SG",22,"CHI",74,2,2.8,0.7,0.1,9.7,3.6,8,1730
"Zach Collins",7350000,"C",25,"SAS",63,26,2.9,0.6,0.8,11.6,4.5,8.7,1441
"Jaden Ivey",7252200,"SG",20,"DET",74,73,5.2,0.8,0.2,16.3,5.5,13.3,2304
"Taurean Prince",7100000,"PF",28,"MIN",54,4,1.6,0.5,0.3,9.1,3.3,7,1192
"Jae'Sean Tate",7065217,"SF",27,"HOU",31,7,2.7,0.7,0.2,9.1,3.5,7.4,677
"Isaac Okoro",7040880,"SF",22,"CLE",76,46,1.1,0.7,0.4,6.4,2.3,4.7,1652
"Cody Martin",7e+06,"SF",27,"CHO",7,0,1.6,0.6,0.1,5,2,5.1,134
"Jalen Suggs",6922320,"SG",21,"ORL",53,19,2.9,1.3,0.5,9.9,3.5,8.4,1246
"Jaxson Hayes",6803012,"C",22,"NOP",47,2,0.7,0.4,0.4,5,1.8,3.3,610
"Khem Birch",6667500,"C",30,"TOR",20,0,0.4,0.3,0.3,2.2,1,1.6,162
"Bennedict Mathurin",6586800,"SG",20,"IND",78,17,1.5,0.6,0.2,16.7,5.3,12.2,2222
"Bruce Brown",6479000,"SF",26,"DEN",80,31,3.4,1.1,0.6,11.5,4.5,9.3,2280
"Caleb Martin",6479000,"SF",27,"MIA",71,49,1.6,1,0.4,9.6,3.6,7.7,2077
"Joe Ingles",6479000,"SF",35,"MIL",46,0,3.3,0.7,0.1,6.9,2.3,5.4,1044
"Onyeka Okongwu",6395160,"C",22,"ATL",80,18,1,0.7,1.3,9.9,4,6.2,1849
"Josh Giddey",6287400,"PF",20,"OKC",76,76,6.2,0.8,0.4,16.6,7.1,14.7,2367
"Rui Hachimura",6263188,"PF",24,"LAL/WAS",63,9,0.9,0.3,0.4,11.2,4.5,9.3,1466
"Rudy Gay",6184500,"PF",36,"UTA",56,0,1,0.3,0.3,5.2,1.9,5.1,816
"Jevon Carter",6025000,"PG",27,"MIL",81,39,2.4,0.8,0.4,8,3,7,1810
"Shaedon Sharpe",6012960,"SG",19,"POR",80,15,1.2,0.5,0.3,9.9,3.8,8.1,1779
"Cameron Payne",6e+06,"PG",28,"PHO",48,15,4.5,0.7,0.2,10.3,3.9,9.4,968
"Justin Holiday",5987975,"SF",33,"DAL/ATL",46,2,0.9,0.4,0.4,4.5,1.7,4.4,706
"Cam Reddish",5954454,"SF",23,"NYK/POR",40,20,1.4,1,0.4,9.7,3.5,7.8,990
"Cameron Johnson",5887899,"PF",26,"BRK/PHO",42,41,1.9,1.2,0.3,15.5,5.3,11.3,1199
"Ricky Rubio",5853659,"PG",32,"CLE",33,2,3.5,0.8,0.2,5.2,1.8,5.4,566
"Killian Hayes",5837760,"PG",21,"DET",76,56,6.2,1.4,0.4,10.3,4,10.7,2154
"Jonathan Kuminga",5739840,"PF",20,"GSW",67,16,1.9,0.6,0.5,9.9,3.9,7.4,1394
"Pat Connaughton",5728393,"SF",30,"MIL",61,33,1.3,0.6,0.2,7.6,2.7,6.9,1443
"Tyler Herro",5722116,"SG",23,"MIA",67,67,4.2,0.8,0.2,20.1,7.3,16.6,2337
"Romeo Langford",5634257,"SG",23,"SAS",43,21,1.2,0.6,0.3,6.9,2.8,6,844
"Dyson Daniels",5508600,"PG",19,"NOP",59,11,2.3,0.7,0.2,3.8,1.5,3.5,1042
"JaVale McGee",5461219,"C",35,"DAL",42,7,0.3,0.1,0.6,4.4,1.9,3,355
"Goga Bitadze",5377520,"C",23,"ORL/IND",38,1,1,0.4,0.7,4.4,1.8,3.3,457
"Obi Toppin",5348280,"PF",24,"NYK",67,5,1,0.3,0.2,7.4,2.8,6.3,1050
"Franz Wagner",5258280,"SF",21,"ORL",80,80,3.5,1,0.2,18.6,6.8,14,2609
"Kendrick Nunn",5250000,"SG",27,"LAL/WAS",70,2,1.3,0.4,0.1,7.1,2.7,6.4,964
"Hamidou Diallo",5200000,"SF",24,"DET",56,0,1,0.9,0.3,9.3,3.8,6.7,996
"Cory Joseph",5155500,"PG",31,"DET",62,2,3.5,0.5,0.1,6.9,2.4,5.7,1227
"Garrett Temple",5155500,"SG",36,"NOP",25,0,0.5,0.4,0.1,2,0.7,1.8,162
"Torrey Craig",5121951,"PF",32,"PHO",79,60,1.5,0.6,0.8,7.4,2.9,6.3,1948
"Jeremy Sochan",5063520,"PF",19,"SAS",56,53,2.5,0.8,0.4,11,4.5,9.9,1458
"Nickeil Alexander-Walker",5009633,"SG",24,"MIN/UTA",59,3,1.8,0.5,0.4,6.2,2.2,5,884
"Furkan Korkmaz",5e+06,"SG",25,"PHI",37,0,0.6,0.3,0.1,3.8,1.3,3,353
"Deni Avdija",4916160,"SF",22,"WAS",76,40,2.8,0.9,0.4,9.2,3.3,7.6,2020
"Davion Mitchell",4833600,"PG",24,"SAC",80,9,2.3,0.6,0.2,5.6,2.3,5,1447
"Johnny Davis",4810320,"SG",20,"WAS",28,5,1,0.4,0.3,5.8,2.4,6.1,423
"Ty Jerome",4728948,"SG",25,"GSW",45,2,3,0.5,0.1,6.9,2.6,5.4,816
