PLAYER,2024 SALARY,2024 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Aliyah Boston,"$75,792 ",--,40,40,31.2,14.5,5.8,10.1,57.80%,5.7,9.8,58.30%,0.1,0.3,40.00%,2.7,3.6,74.50%,3.1,5.3,8.4,2.2,1.9,1.3,1.3,3.1
Kayla McBride,"$208,000 ",UFA,38,38,31.8,14.3,4.9,11.6,42.40%,2.7,5.2,52.50%,2.2,6.4,34.20%,2.2,2.6,86.70%,0.4,2.8,3.2,2.2,1.7,1.2,0.2,1.7
Ezi Magbegor,"$155,000 ",Reserved,40,40,32.6,13.8,5.4,10.6,51.30%,4.7,8.6,54.20%,0.8,2,38.50%,2.2,3.1,69.90%,1.6,6.5,8.1,2.6,2.4,1.1,1.9,3.2
Jordin Canada,"$185,000 ",UFA,38,38,32.6,13.3,4.3,10.6,40.40%,3.2,7.4,43.60%,1.1,3.2,33.30%,3.6,4.2,87.30%,0.2,2.8,3.1,6,2.7,2.3,0.2,2.3
Natasha Cloud,"$200,000 ",UFA,37,37,32.4,12.7,4,10.7,37.70%,2.8,6.6,42.60%,1.2,4.1,29.80%,3.4,3.8,90.00%,0.2,3.5,3.7,6.2,2.6,1.1,0.3,2.6
Lexie Brown,"$80,340 ",UFA,12,11,30.3,12.4,4.5,9.3,48.60%,2.3,3.8,58.70%,2.3,5.4,41.50%,1.2,1.3,87.50%,0.2,1.9,2.1,2.4,1.3,0.9,0.3,1.2
Diamond Miller,"$75,792 ",--,32,32,26.1,12.1,4.4,10.8,40.30%,3.4,7.7,44.30%,1,3.2,30.70%,2.4,3,79.20%,0.7,2.8,3.5,2.5,2.3,0.9,0.3,2.5
Tiffany Hayes,,SuspCE,40,40,27,12.1,4.2,8.8,47.60%,3,5.6,54.10%,1.2,3.3,36.60%,2.5,3.2,77.80%,1,2.1,3,2.6,1.4,0.9,0.1,2.9
Teaira McCowan,"$195,700 ",RFA,30,29,26.1,11.9,5,9.1,55.10%,5,8.9,56.00%,0,0.1,0.00%,1.9,3.3,58.60%,3.5,5.6,9.1,1.5,1.5,0.5,1.2,3.3
Ariel Atkins,"$200,000 ",--,27,27,25.2,11.5,3.9,9.3,41.40%,2.3,4.7,48.80%,1.6,4.6,33.90%,2.3,2.5,89.70%,0.7,2.4,3.1,2.3,1.3,1.2,0.3,2.6
Jonquel Jones,"$190,000 ",UFA,40,40,25,11.3,4.4,8.4,52.70%,3.6,6.1,59.30%,0.8,2.3,35.20%,1.7,2,86.30%,2.6,5.8,8.4,1.8,2.1,0.6,1.3,2.8
Sophie Cunningham,"$154,500 ",RFA,31,31,29,11.3,3.6,8.7,41.30%,1.7,3.1,54.60%,1.9,5.5,33.70%,2.3,2.6,87.50%,0.5,2.3,2.8,2.1,1.5,0.6,0.4,3.2
Layshia Clarendon,"$100,000 ",UFA,24,24,28.6,11.1,4,8,49.70%,3.1,6.1,51.00%,0.9,1.9,45.70%,2.3,2.5,91.50%,1,2.1,3,3.4,2.3,1.1,0,2.6
Azura Stevens,"$195,000 ",UFA,35,29,26,10.8,4.3,10.5,40.40%,3.3,7.4,43.80%,1,3.1,32.10%,1.3,1.7,75.40%,1.5,4.4,5.9,1.1,1.5,1.2,0.9,2.6
Courtney Vandersloot,"$194,670 ",UFA,39,39,30.4,10.5,4.1,9.3,44.20%,3.2,6.1,52.10%,0.9,3.2,29.40%,1.3,1.7,76.10%,0.5,3,3.5,8.1,2.7,1.3,0.6,2
