PLAYER,2024 SALARY,2024 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Sydney Colson,"$76,535 ",UFA,28,0,4.8,1.3,0.4,1,44.40%,0.2,0.4,54.50%,0.2,0.6,37.50%,0.2,0.2,83.30%,0.1,0.3,0.4,0.8,0.2,0.3,0,0.9
Taylor Soule,"$64,154 ",UFA,15,0,3.5,0.6,0.1,0.9,14.30%,0.1,0.7,18.20%,0,0.2,0.00%,0.3,0.5,62.50%,0.2,0.3,0.5,0.2,0.3,0,0.1,0.4
Lorela Cubaj,"$64,154 ",UFA,3,0,6.2,0,0,0.3,0.00%,0,0.3,0.00%,0,0,--,0,0,--,0,2.3,2.3,0,0.3,0,0.3,1.3
Lou Lopez Senechal,"$72,727 ",Rookie,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Isabelle Harrison,"$160,000 ",UFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Riquna Williams,,UFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Natalie Achonwa,,UFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Diamond DeShields,"$100,000 ",UFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Skylar Diggins-Smith,"$208,219 ",UFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Katie Lou Samuelson,"$175,000 ",UFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
