"PLAYER","X2024.SALARY","X2024.SIGNING","G","GS","MIN","PTS","AST","STL","BLK","FGM","FGA"
"Sug Sutton",64154,"Reserved",40,12,"26.3","8.1999999999999993","4.8","0.7","0.1","3.2","8.1999999999999993"
"Jessica Shepard",123600,"--",21,17,"26.9","8.1","3.2","0.6","0.1","3.1","6"
"Megan Gustafson",94000,"UFA",34,4,"15.1","7.9","0.7","0.4","0.4","3","5.7"
"Aari McDonald",89302,"Rookie",24,9,"23.5","7.9","3","0.6","0","2.8","6.8"
"Kalani Brown",125000,"UFA",32,5,"16.399999999999999","7.8","1","0.2","0.7","2.8","4.5"
"Karlie Samuelson",115000,"UFA",34,23,"26.1","7.7","2","0.6","0.1","2.4","5.2"
"Tiffany Mitchell",139050,"UFA",33,21,"23.1","7.3","2.2999999999999998","0.5","0.1","2.6","6.5"
"Marine Johannes",NA,"Reserved",35,5,"18.899999999999999","7.1","1.7","0.7","0.1","2.5","6.1"
"Rebekah Gardner",NA,"Reserved",3,0,"19.8","7","2.2999999999999998","2","0.3","2","4.7"
"Jordan Horston",69663,"--",36,17,"22.4","6.9","1.6","1.2","0.6","2.8","7.6"
"Nia Coffey",150000,"UFA",31,31,"21.9","6.9","1.5","0.5","1.2","2.7","6.2"
"Alysha Clark",110000,"UFA",39,1,"22.5","6.7","1.1000000000000001","0.6","0.2","2.2999999999999998","5.3"
"Kristy Wallace",71124,"Rookie",37,9,"19.7","6.6","1.9","0.6","0.2","2.5","6.3"
"Ivana Dojkic",64154,"UFA",23,15,"20","6.5","2.8","0.8","0.2","2.1","5.2"
"Rebecca Allen",160000,"UFA",40,27,"21.5","6.4","0.9","0.9","1.3","2.5","6"
"Shatori Walker-Kimbrough",97850,"UFA",40,15,"24.8","6.3","1.7","0.7","0.4","2.2000000000000002","5.0999999999999996"
"Lindsay Allen",90000,"UFA",29,20,"24.1","6.2","4.5","0.6","0.1","2.2000000000000002","5.6"
"Dorka Juhasz",66597,"--",38,27,"24.2","6","2.6","0.9","0.6","2.5","5.2"
"Nikolina Milic",NA,"UFA",39,3,"12.7","5.9","0.8","0.1","0.1","2.2999999999999998","4.9000000000000004"
"Kia Nurse",142500,"UFA",40,20,"19.7","5.9","1.3","0.6","0.1","2","5.8"
"Danielle Robinson",NA,"UFA",32,27,"21.6","5.8","3.3","0.7","0.1","2.2000000000000002","4.8"
"Emma Cannon",NA,"UFA",30,3,"10.5","5.8","0.5","0.1","0.1","2","4.5"
"Emma Cannon",76535,"UFA",30,3,"10.5","5.8","0.5","0.1","0.1","2","4.5"
"Tyasha Harris",97100,"--",40,0,"16.7","5.8","1.7","0.7","0.1","2.2000000000000002","5.2"
"Myisha Hines-Allen",180200,"RFA",35,18,"17.600000000000001","5.6","2.2000000000000002","0.7","0.2","2.1","6.1"
"Li Meng",NA,"Rookie",34,1,"15.9","5.6","1","0.3","0","1.8","4.8"
"Rachel Banham",95000,"UFA",32,1,"13.6","5.5","1.7","0.3","0.1","1.9","5.2"
"Aerial Powers",155000,"UFA",20,0,"9.6999999999999993","5.2","0.8","0.2","0.1","1.9","4.5999999999999996"
"Victoria Vivians",90000,"RFA",38,14,"17.7","5.2","1.3","0.7","0.2","1.9","5.0999999999999996"
"Victoria Vivians",76535,"UFA",38,14,"17.7","5.2","1.3","0.7","0.2","1.9","5.0999999999999996"
"Mercedes Russell",160000,"RFA",37,13,"19.100000000000001","5","1.3","0.4","0.5","2.2000000000000002","4.2"
"Queen Egbo",74398,"--",37,0,"12.8","4.8","0.3","0.4","0.6","2","4"
"Zia Cooke",69663,"--",39,4,"14.1","4.8","0.8","0.3","0.3","1.7","5.8"
"Lexie Hull",77669,"Rookie",30,25,"20.6","4.5999999999999996","1.1000000000000001","1","0.3","1.8","4.8"
"Olivia Nelson-Ododa",71124,"Rookie",39,0,"15","4.5","0.6","0.5","0.8","1.7","3.1"
"Kayla Thornton",110000,"--",40,0,"17.3","4.5","0.7","0.7","0.3","1.6","3.8"
"Morgan Bertsch",64154,"Resered",28,5,"14.2","4.4000000000000004","0.7","0.4","0.3","1.7","3.7"
"Grace Berger",72727,"--",36,0,"14.6","4.2","1.9","0.5","0.2","1.6","3.5"
"Naz Hillmon",71124,"Rookie",40,3,"13.5","4.0999999999999996","0.7","0.2","0.1","1.5","2.9"
"Dulcy Fankam Mendjiadeu",66597,"--",33,21,"14.2","4.0999999999999996","0.4","0.4","0.3","1.7","3.2"
"Stefanie Dolson",175000,"UFA",23,0,"11.9","4","1.2","0","0.3","1.5","3"
"Maddy Siegrist",75792,"--",39,0,"8.1999999999999993","3.7","0.2","0.2","0.2","1.5","2.9"
"Haley Jones",72727,"--",40,6,"14.6","3.7","2.2999999999999998","0.4","0.3","1.4","4.2"
"Kierstan Bell",74398,"Rookie",36,0,"11.8","3.7","0.5","0.4","0.1","1.5","4.3"
"Kristi Toliver",NA,"UFA",11,0,"9","3.6","0.7","0.3","0","1.2","3.5"
"Rae Burrell",125000,"UFA",29,3,"11.1","3.6","0.6","0.4","0.1","1.2","3.2"
"Sika Kone",64154,"--",20,0,"9.3000000000000007","3.6","0.5","0.2","0.1","1.3","2.4"
"Brianna Turner",150000,"--",40,33,"26.3","3.5","1.3","1","1.1000000000000001","1.7","2.6"
"Bridget Carleton",125000,"UFA",38,4,"15.1","3.2","0.9","0.3","0.1","1.1000000000000001","3.1"
"Laeticia Amihere",72727,"--",20,0,"7.3","2.8","0.2","0.3","0.5","0.9","2.1"
"Jade Melbourne",64154,"--",29,0,"10.6","2.6","1.2","0.4","0","0.9","2.2000000000000002"
"Awak Kuier",89302,"Rookie",37,4,"10.8","2.6","0.5","0.2","0.6","1","2.5"
"Yvonne Turner",NA,"UFA",21,7,"9.1999999999999993","2.5","0.9","0.4","0.1","0.9","2"
"Cayla George",NA,"UFA",32,0,"8.5","2.2999999999999998","0.4","0.3","0.2","0.9","3.3"
"Nyara Sabally",72727,"--",33,0,"7.9","2.2999999999999998","0.2","0.1","0.2","0.8","1.8"
"Kiah Stokes",1e+05,"UFA",40,22,"19.8","2.2000000000000002","0.6","0.7","1","0.9","2.1"
"Bernadett Hatar",NA,"Reserved",6,0,"7.9","2","0.2","0.7","0.3","1","2.7"
"Odyssey Sims",NA,"UFA",28,0,"12","2","2.2000000000000002","0.4","0","0.8","2.5"
"Liz Dixon",64154,"UFA",14,0,"5.6","1.9","0.2","0","0.2","0.7","1.4"
"Iliana Rupert",74398,"Rookie",20,0,"7.9","1.8","0.5","0.4","0.4","0.6","1.7"
"Emily Engstler",64154,"UFA",12,0,"7.8","1.8","0.6","0.4","0.1","0.7","1.8"
"Amanda Zahui B.",NA,"UFA",34,1,"7.4","1.7","0.3","0.2","0.5","0.5","2.1"
"Han Xu",NA,"Reserved",8,0,"4.4000000000000004","1.5","0","0.3","0.1","0.8","2.5"
"Victaria Saxton",64154,"--",15,0,"3.6","1.3","0","0.1","0","0.4","1.2"
"Sydney Colson",76535,"UFA",28,0,"4.8","1.3","0.8","0.3","0","0.4","1"
"Taylor Soule",64154,"UFA",15,0,"3.5","0.6","0.2","0","0.1","0.1","0.9"
"Lorela Cubaj",64154,"UFA",3,0,"6.2","0","0","0","0.3","0","0.3"
"Lou Lopez Senechal",72727,"Rookie",0,0,"--","--","--","--","--","--","--"
"Isabelle Harrison",160000,"UFA",0,0,"--","--","--","--","--","--","--"
"Riquna Williams",NA,"UFA",0,0,"--","--","--","--","--","--","--"
"Natalie Achonwa",NA,"UFA",0,0,"--","--","--","--","--","--","--"
"Diamond DeShields",1e+05,"UFA",0,0,"--","--","--","--","--","--","--"
"Skylar Diggins-Smith",208219,"UFA",0,0,"--","--","--","--","--","--","--"
"Katie Lou Samuelson",175000,"UFA",0,0,"--","--","--","--","--","--","--"
